model,perturbation,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high
shallow_convnet,band_limited_5db,45.69444444444444,18.08044491780901,31.79658419551153,59.59230469337736
shallow_convnet,channel_dropout_30pct,40.72530864197532,10.01723239802196,33.02538219759539,48.42523508635525
riemann_tslr,band_limited_5db,26.33487654320988,3.315340940814517,23.78647990349989,28.883273182919854
riemann_tslr,channel_dropout_30pct,27.51543209876543,2.166393372681634,25.850194740137848,29.18066945739301
eegnet,band_limited_5db,32.43827160493827,6.7072732912435695,27.282604956420897,37.59393825345565
eegnet,channel_dropout_30pct,35.97222222222222,8.729169428975078,29.262388622184115,42.68205582226032
tiny_transformer,band_limited_5db,36.2037037037037,11.624116354309196,27.26861690999324,45.13879049741416
tiny_transformer,channel_dropout_30pct,33.12499999999999,5.437105314184273,28.945670887316837,37.30432911268315
cfc,band_limited_5db,38.61111111111112,12.48330289147255,29.015595081530503,48.20662714069172
cfc,channel_dropout_30pct,34.02777777777778,7.21336930700621,28.4830912942074,39.57246426134815
hybrid_cfc,band_limited_5db,33.51851851851851,8.463893333149839,27.01259417646168,40.02444286057535
hybrid_cfc,channel_dropout_30pct,34.47530864197531,8.502061460766294,27.940045679879628,41.01057160407099
lstm,band_limited_5db,38.58024691358025,10.196345421879206,30.74264201130574,46.41785181585475
lstm,channel_dropout_30pct,31.12654320987654,4.3987420407993,27.745370764616677,34.50771565513641
